time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Kumo Cloud Upper Line,Kumo Cloud Lower Line,Basis,Upper,Lower,EMA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Histogram,MACD,Signal,%K,%D,MOM,Accumulation/Distribution,ATR,Bollinger Bands Width
2020-11-19T00:00:00Z,17792.96,18189.97,17346.62,17825.47,10506.69646215,9539.67404929157,16397,16886.925,15628.25,19274.33,12092.7675,11594.3,12092.7675,11594.3,15597.143999999997,18154.402963057226,13039.885036942767,16816.490495407263,16248.195235039577,16713.55222222222,16187.382888888887,10506.69646215,9539.67404929157,80.67826243704275,75.5158908795403,NaN,NaN,50,145.65387029827775,1194.7910784072592,1049.1372081089814,84.08688286544049,87.95773068088562,2493.4300000000003,4173356.210565797,792.6761590247005,0.3279137466522371
2020-11-20T00:00:00Z,17822.37,18824.88,17755.81,18687.65,10020.01351326,9723.805078570571,16814.2,17152.940000000002,15799.19,19434.87,12114.9625,11594.3,12114.9625,11594.3,15840.722499999998,18593.549979933166,13087.89502006683,17190.72239632581,16546.72898803166,17044.636666666665,16454.55222222222,10020.01351326,9723.805078570571,83.948982558117,75.49029435546724,NaN,NaN,50,185.7053900431913,1281.2689456629705,1095.5635556197792,96.93264012445573,88.37201074338088,3374.000000000002,4180803.8079520967,812.4185762372218,0.3475633740737733
2020-11-21T00:00:00Z,18685.08,18977,18333.45,18725,5938.88999219,9894.04528743157,17216.336,17346.05,15934.5,21365.7,12341.485,11806.535,12341.485,11806.535,16088.872499999998,18940.42283924973,13237.322160750264,17497.577917060647,16865.57119042533,17314.08111111111,16733.707111111107,5938.88999219,9894.04528743157,84.07474786815791,76.53176436251476,NaN,NaN,50,193.46946921442304,1337.400392137808,1143.930922923385,94.07032314385819,91.69661537791815,3017.1100000000006,4182091.621017764,800.3565350774203,0.35447485077027424
2020-11-22T00:00:00Z,18726.43,18770.55,17600,18435.2,6417.21771734,9861.635617832073,17568.4688,17346.05,15934.5,22814.24,12477.445,11844.98,12477.445,11844.98,16332.446499999996,19110.898889581567,13553.994110418425,17685.10233364852,17150.82775234026,17547.37222222222,17010.820666666667,6417.21771734,9861.635617832073,78.90850774617496,76.90032844697906,NaN,NaN,50,159.27049551291634,1343.0190423145305,1183.748546801614,86.95193553514406,92.65163293448602,2135.2000000000007,4184831.9108610107,826.7989254290331,0.34023713343638645
2020-11-23T00:00:00Z,18432.6,18786.31,18001.95,18383.35,9412.08722183,9970.972103732573,17600,17381.73,15985,23136.14,12538.422499999999,11844.98,12538.422499999999,11844.98,16549.534999999996,19255.623539375734,13843.446460624256,17824.751866918814,17402.92900187221,17802.595555555556,17284.447555555555,9412.08722183,9970.972103732573,77.98517943311742,77.38742431287781,NaN,NaN,50,115.38506337179183,1327.979876016354,1212.5948126445621,84.71758488156865,88.57994785352365,2047.7699999999986,4184573.197259472,823.7675736126737,0.3270289514932884
2020-11-24T00:00:00Z,18386.92,19442.13,18068.56,19160.85,13261.19897547,10087.715712234072,17600,17658.815000000002,16285.695000000002,23842.99,12735.377499999999,11923.134999999998,12735.377499999999,11923.134999999998,16799.548,19500.52388761995,14098.572112380049,18091.97149353505,17658.025201497767,18156.52444444444,17573.041999999998,13261.19897547,10087.715712234072,81.48396032234845,78.1467752778971,NaN,NaN,50,120.39308719643282,1363.0861716401032,1242.6930844436704,93.22425854194363,88.29792631955212,3074.5099999999984,4192403.1331062773,863.0391754974827,0.3215533998438472
2020-11-25T00:00:00Z,19175.13,19490,18470.91,18732.43,8962.62225501,9616.069331557072,17968.426,18030,16355,23470.85,12863.705,12119.15,12863.705,12119.15,16955.9175,19723.461854866786,14188.373145133213,18220.06319482804,17863.893361198214,18379.61444444444,17840.03755555555,8962.62225501,9616.069331557072,74.46152800430772,78.2127289042537,NaN,NaN,50,78.5506557627798,1340.881404147145,1262.3307483843653,81.10326764779246,86.34837035710159,2756.9400000000005,4188040.5068715014,874.1856629619482,0.32643994108449587
2020-11-26T00:00:00Z,18727.24,18911.04,16218,17160.09,21424.98655676,10014.241621055571,19490,17854,16355,22732.01,12877.14,12119.15,12877.14,12119.15,17034.017499999998,19731.14587924994,14336.889120750058,18008.068555862432,17965.99148895857,18321.776666666665,18041.576666666668,21424.98655676,10014.241621055571,55.54238800423729,76.6822010556092,NaN,NaN,50,-63.64461881348825,1182.774974867505,1246.4195936809933,38.2788948051604,70.86880699829884,435.47000000000116,4181605.4689120576,1004.1038298932377,0.3166755440106764
2020-11-27T00:00:00Z,17168.31,17471.89,16435.47,17154.39,8965.14764006,9918.018819894573,19490,17854,16355,23835.1,12877.14,12119.15,12877.14,12119.15,17149.7885,19651.815877686207,14647.76112231379,17837.332844689947,17996.437591166854,18251.60333333333,18182.422888888887,8965.14764006,9918.018819894573,55.48734824906993,75.13405171803073,NaN,NaN,50,-161.16063625049242,1044.9687983678778,1206.1294346183702,38.12789742774641,52.50335329356643,-526.2400000000016,4185077.7963137603,1006.4121277580064,0.29178521678984076
2020-11-28T00:00:00Z,17160.38,17896.03,16875.01,17741.79,4472.16584735,9889.302154064571,19424.56,17854,16388.85,23247.71,12949.975,12119.15,12949.975,12119.15,17262.4205,19655.73331671638,14869.107683283617,17818.224275751956,17995.132072933484,18242.30555555555,18270.364888888886,4472.16584735,9889.302154064571,59.89762469032925,74.22650426294271,NaN,NaN,50,-187.34303602232148,971.9506395904682,1159.2936756127897,52.796243593966885,43.0676786089579,-44.159999999999854,4188198.790077713,1007.455547203863,0.2772858900889805
2020-11-29T00:00:00Z,17724.41,18352.47,17534.87,18192.03,3736.1591794,9357.588383544573,19360.4288,17854,16505.435,23726.28,13126.655,12207.9,13126.655,12207.9,17405.42,19657.910133208235,15152.929866791761,17892.985420601566,17955.334858346785,18187.236666666664,18276.50733333333,3736.1591794,9357.588383544573,62.92946301928316,73.67820946122252,NaN,NaN,50,-175.76861963757005,939.5829010658272,1115.3515207033972,64.0899156176511,51.67135221312146,366.5599999999977,4190468.634729855,993.8944366893016,0.2588262889615117
2020-11-30T00:00:00Z,18196.75,19864.15,18196.75,19700.19,10612.67092499,9439.956594097572,16218,18041.075,16982.075,24705.15,13902.2875,12954.439999999999,13902.2875,12954.439999999999,17624.746999999996,19874.055336463633,15375.43866353636,18254.426336481254,17962.207486677427,18295.59111111111,18259.702666666664,10612.67092499,9439.956594097572,70.87308337859308,73.34701327487433,NaN,NaN,50,-73.22111724518845,1023.8251241469115,1097.0462413921,95.50320200759698,70.79645373973831,1012.5399999999972,4198994.159769202,1042.339119782923,0.2552443262264856
2020-12-01T00:00:00Z,19703.53,19918.01,18100,18771.43,11799.2336667,9529.255063839071,16290.923,18068.004999999997,17134.504999999997,26466.28,14026.7375,13053.64,14026.7375,13053.64,17777.923999999995,19897.74556040946,15658.102439590528,18357.827069185005,18032.159189341943,18332.949999999997,18261.93733333333,11799.2336667,9529.255063839071,62.05441418791074,72.05962189446687,NaN,NaN,50,-74.38081208512767,1004.0702262856903,1078.451038370818,69.01143510422949,76.20151757649252,46.43000000000029,4195910.345116514,1097.7441826555712,0.23847796406481062
2020-12-02T00:00:00Z,18773.21,19346.9,18334,19226.55,6743.26185429,9053.674325268072,16436.00648,18068.004999999997,17134.504999999997,26259.6,14066.805,13053.64,14066.805,13053.64,17924.251499999995,20019.686559020418,15828.81644097957,18531.571655348005,18171.006951473555,18426.638888888887,18296.944444444445,6743.26185429,9053.674325268072,64.39254982127679,70.90843140856906,NaN,NaN,50,-51.99585836777078,1013.4562154111045,1065.4520737788753,81.3119424001557,81.94219317066072,791.3499999999985,4201051.175212163,1091.683883894459,0.2338100488068274
2020-12-03T00:00:00Z,19220.09,19621,18881.62,19448.4,6196.52507218,8971.339149675072,16575.2866208,18068.004999999997,17322.6,27037.91,14089.49,13053.64,14089.49,13053.64,18079.892499999994,20142.36235579818,16017.422644201808,18714.937324278406,18350.349561178846,18458.588888888884,18340.20111111111,6196.52507218,8971.339149675072,65.50823596824948,69.82485808936954,NaN,NaN,50,-30.7952686934309,1026.9579879120865,1057.7532566055174,87.30787214088618,79.21041654842378,1065.050000000003,4204354.681194137,1066.5193207591406,0.22815067686914478
2020-12-04T00:00:00Z,19439.94,19552.5,18573.89,18673.76,6261.69559093,9032.107593972572,16708.995555968002,18068.004999999997,17371.335,27370,14089.49,13053.64,14089.49,13053.64,18209.263499999994,20070.048251381017,16348.47874861897,18706.701859422723,18513.092848943073,18452.069999999992,18393.167777777773,6261.69559093,9032.107593972572,58.60345999497517,68.0144636205737,NaN,NaN,50,-74.97186057042086,964.0384308924913,1039.0102914629122,66.3717125088851,78.33050901664232,-487.09000000000015,4199371.034138714,1060.240083562059,0.2043778158716879
2020-12-05T00:00:00Z,18650.08,19185.17,18500,19162.16,2376.72322359,8989.658488644072,16837.35613372928,18176.739999999998,17505.239999999998,28881.3,14089.49,13053.64,14089.49,13053.64,18368.596999999994,19963.78500527243,16773.408994727557,18797.79348753818,18621.76627915446,18674.52222222222,18468.953999999994,2376.72322359,8989.658488644072,61.3682282476594,66.39256936196666,NaN,NaN,50,-77.0346551890068,942.7169724766536,1019.7516276656604,79.57167683330589,77.75042049435905,429.72999999999956,4201588.122815039,1033.449363307626,0.17368642855765606
2020-12-06T00:00:00Z,19162.17,19418.39,18870.62,19380.58,2503.4542629,8741.263483540071,16960.58228838011,18396.51,17604.43,28992.79,14133.432499999999,13064.654999999999,14133.432499999999,13064.654999999999,18501.394999999993,19963.712810908826,17039.07718909116,18914.350790030545,18733.071023323566,18921.876666666663,18586.73933333333,2503.4542629,8741.263483540071,62.57213050218429,65.22568527311019,NaN,NaN,50,-69.6471177791534,932.6927304417186,1002.339848220872,85.47490412188084,77.13943115469061,2220.4900000000016,4203745.973610497,998.7579802142243,0.15807649216816716
